ABM INDUSTRIES INC,"25,796","1,229,298.96","1,120,062.32","(109,236.64)",UNITED STATES,Industrials,Commercial & Professional Services
EQUIFAX INC,"6,040","994,157.04","1,103,991.20","109,834.16",UNITED STATES,Industrials,Commercial & Professional Services
COPART INC,"9,232","1,005,189.76","1,003,149.12","(2,040.64)",UNITED STATES,Industrials,Commercial & Professional Services
STERICYCLE INC,"22,193","1,355,630.58","973,163.05","(382,467.53)",UNITED STATES,Industrials,Commercial & Professional Services
HIRERIGHT HOLDINGS CORP,"66,409","1,164,488.34","943,671.89","(220,816.45)",UNITED STATES,Industrials,Commercial & Professional Services
ARIS WATER SOLUTION INC,"55,812","727,035.64","930,944.16","203,908.52",UNITED STATES,Industrials,Commercial & Professional Services
ACV AUCTIONS INC,"133,164","2,682,278.33","870,892.56","(1,811,385.77)",UNITED STATES,Industrials,Commercial & Professional Services
STERLING CHECK CORP,"50,462","1,115,249.12","823,035.22","(292,213.90)",UNITED STATES,Industrials,Commercial & Professional Services
HARSCO CORP,"105,551","1,860,173.25","750,467.61","(1,109,705.64)",UNITED STATES,Industrials,Commercial & Professional Services
COSTAR GROUP INC,"11,230","644,658.31","678,404.30","33,745.99",UNITED STATES,Industrials,Commercial & Professional Services
BOOZ ALLEN HAMILTON HOLDING CO,"7,255","425,460.02","655,561.80","230,101.78",UNITED STATES,Industrials,Commercial & Professional Services
LEGALZOOM.COM INC,"54,095","699,690.43","594,504.05","(105,186.38)",UNITED STATES,Industrials,Commercial & Professional Services
ROBERT HALF INTERNATIONAL INC,"7,718","486,172.44","578,001.02","91,828.58",UNITED STATES,Industrials,Commercial & Professional Services
SCIENCE APPLICATIONS INTERNATI,"5,889","492,328.12","548,265.90","55,937.78",UNITED STATES,Industrials,Commercial & Professional Services
CACI INTERNATIONAL INC,"1,886","350,150.95","531,437.08","181,286.13",UNITED STATES,Industrials,Commercial & Professional Services
TRANSUNION,"6,262","531,216.92","500,897.38","(30,319.54)",UNITED STATES,Industrials,Commercial & Professional Services
KBR INC,"9,962","322,452.95","482,061.18","159,608.23",UNITED STATES,Industrials,Commercial & Professional Services
ROLLINS INC,"10,173","329,167.52","355,241.16","26,073.64",UNITED STATES,Industrials,Commercial & Professional Services
CLEAN HARBORS INC,"2,847","216,175.77","249,596.49","33,420.72",UNITED STATES,Industrials,Commercial & Professional Services
CORECIVIC INC,"12,745","181,228.63","141,596.95","(39,631.68)",UNITED STATES,Industrials,Commercial & Professional Services
INSPERITY INC,"1,256","115,655.07","125,386.48","9,731.41",UNITED STATES,Industrials,Commercial & Professional Services
BRINK'S CO/THE,"1,993","140,175.96","120,995.03","(19,180.93)",UNITED STATES,Industrials,Commercial & Professional Services
KAR AUCTION SERVICES INC,"7,720","122,608.09","114,024.40","(8,583.69)",UNITED STATES,Industrials,Commercial & Professional Services
DUN & BRADSTREET HOLDINGS INC,"5,947","106,629.86","89,383.41","(17,246.45)",UNITED STATES,Industrials,Commercial & Professional Services
MANTECH INTERNATIONAL CORP/VA,899,"78,436.14","85,809.55","7,373.41",UNITED STATES,Industrials,Commercial & Professional Services
TRINET GROUP INC,"1,100","86,955.75","85,382.00","(1,573.75)",UNITED STATES,Industrials,Commercial & Professional Services
KORN FERRY,"1,399","90,458.21","81,169.98","(9,288.23)",UNITED STATES,Industrials,Commercial & Professional Services
PITNEY BOWES INC,"21,867","152,350.66","79,158.54","(73,192.12)",UNITED STATES,Industrials,Commercial & Professional Services
UNIFIRST CORP/MA,407,"85,008.83","70,077.26","(14,931.57)",UNITED STATES,Industrials,Commercial & Professional Services
EXPONENT INC,571,"38,190.31","52,229.37","14,039.06",UNITED STATES,Industrials,Commercial & Professional Services
UPWORK INC,"2,175","78,866.44","44,979.00","(33,887.44)",UNITED STATES,Industrials,Commercial & Professional Services
HERMAN MILLER INC,830,"24,293.95","21,804.10","(2,489.85)",UNITED STATES,Industrials,Commercial & Professional Services
HNI CORP,597,"20,941.22","20,709.93",(231.29),UNITED STATES,Industrials,Commercial & Professional Services
ALIGHT INC,"2,614","19,552.72","17,644.50","(1,908.22)",UNITED STATES,Industrials,Commercial & Professional Services
DRIVEN BRANDS HOLDINGS INC,628,"18,546.41","17,295.12","(1,251.29)",UNITED STATES,Industrials,Commercial & Professional Services
INTERFACE INC,"1,331","20,587.73","16,690.74","(3,896.99)",UNITED STATES,Industrials,Commercial & Professional Services
MATTHEWS INTERNATIONAL CORP,526,"21,668.30","15,080.42","(6,587.88)",UNITED STATES,Industrials,Commercial & Professional Services
MILLERKNOLL INC,542,"17,003.90","14,238.34","(2,765.56)",UNITED STATES,Industrials,Commercial & Professional Services
CBIZ INC,347,"14,380.55","13,866.12",(514.43),UNITED STATES,Industrials,Commercial & Professional Services
HEALTHCARE SERVICES GROUP INC,671,"13,284.99","11,682.11","(1,602.88)",UNITED STATES,Industrials,Commercial & Professional Services
VSE CORP,270,"10,311.98","10,146.60",(165.38),UNITED STATES,Industrials,Commercial & Professional Services
KFORCE INC,132,"9,023.85","8,096.88",(926.97),UNITED STATES,Industrials,Commercial & Professional Services
MONTROSE ENVIRONMENTAL GROUP I,192,"7,283.04","6,481.92",(801.12),UNITED STATES,Industrials,Commercial & Professional Services
PLANET LABS PBC,"1,356","6,508.80","5,871.48",(637.32),UNITED STATES,Industrials,Commercial & Professional Services
VIAD CORP,211,"6,803.17","5,825.71",(977.46),UNITED STATES,Industrials,Commercial & Professional Services
GEO GROUP INC/THE,830,"5,552.70","5,478.00",(74.70),UNITED STATES,Industrials,Commercial & Professional Services
FIRST ADVANTAGE CORP,406,"5,835.24","5,144.02",(691.22),UNITED STATES,Industrials,Commercial & Professional Services
FRANKLIN COVEY CO,107,"4,070.55","4,941.26",870.71,UNITED STATES,Industrials,Commercial & Professional Services
KELLY SERVICES INC,241,"4,782.04","4,779.03",(3.01),UNITED STATES,Industrials,Commercial & Professional Services
HEIDRICK & STRUGGLES INTERNATI,146,"5,135.19","4,724.56",(410.63),UNITED STATES,Industrials,Commercial & Professional Services
SP PLUS CORP,151,"4,922.98","4,638.72",(284.26),UNITED STATES,Industrials,Commercial & Professional Services
RESOURCES CONNECTION INC,210,"4,047.23","4,277.70",230.47,UNITED STATES,Industrials,Commercial & Professional Services
BRIGHTVIEW HOLDINGS INC,355,"4,743.69","4,260.00",(483.69),UNITED STATES,Industrials,Commercial & Professional Services
ENNIS INC,210,"3,778.43","4,248.30",469.87,UNITED STATES,Industrials,Commercial & Professional Services
CRA INTERNATIONAL INC,44,"3,813.59","3,930.08",116.49,UNITED STATES,Industrials,Commercial & Professional Services
BARRETT BUSINESS SERVICES INC,53,"4,015.41","3,862.11",(153.30),UNITED STATES,Industrials,Commercial & Professional Services
HERITAGE-CRYSTAL CLEAN INC,135,"3,756.04","3,639.60",(116.44),UNITED STATES,Industrials,Commercial & Professional Services
FORRESTER RESEARCH INC,75,"3,694.69","3,588.00",(106.69),UNITED STATES,Industrials,Commercial & Professional Services
UNION PACIFIC CORP,"273,014","55,211,836.10","58,228,425.92","3,016,589.82",UNITED STATES,Industrials,Transportation
NORFOLK SOUTHERN CORP,"170,003","37,572,359.81","38,639,981.87","1,067,622.06",UNITED STATES,Industrials,Transportation
CSX CORP,"1,243,634","33,638,128.02","36,140,004.04","2,501,876.02",UNITED STATES,Industrials,Transportation
LANDSTAR SYSTEM INC,"144,611","17,898,171.72","21,029,331.62","3,131,159.90",UNITED STATES,Industrials,Transportation
UNITED PARCEL SERVICE INC,"104,972","17,545,922.21","19,161,588.88","1,615,666.67",UNITED STATES,Industrials,Transportation
FEDEX CORP,"68,967","13,559,739.76","15,635,508.57","2,075,768.81",UNITED STATES,Industrials,Transportation
UBER TECHNOLOGIES INC,"692,998","26,840,957.34","14,178,739.08","(12,662,218.26)",UNITED STATES,Industrials,Transportation
OLD DOMINION FREIGHT LINE INC,"48,497","11,100,233.21","12,428,811.16","1,328,577.95",UNITED STATES,Industrials,Transportation
RYDER SYSTEM INC,"147,054","10,074,057.98","10,449,657.24","375,599.26",UNITED STATES,Industrials,Transportation
EXPEDITORS INTERNATIONAL OF WA,"86,169","8,164,767.83","8,398,030.74","233,262.91",UNITED STATES,Industrials,Transportation
DELTA AIR LINES INC,"179,923","7,781,642.47","5,212,369.31","(2,569,273.16)",UNITED STATES,Industrials,Transportation
SCHNEIDER NATIONAL INC,"183,222","4,412,329.88","4,100,508.36","(311,821.52)",UNITED STATES,Industrials,Transportation
SOUTHWEST AIRLINES CO,"99,548","4,469,812.82","3,595,673.76","(874,139.06)",UNITED STATES,Industrials,Transportation
KNIGHT-SWIFT TRANSPORTATION HO,"69,777","3,185,590.69","3,229,977.33","44,386.64",UNITED STATES,Industrials,Transportation
ALASKA AIR GROUP INC,"77,604","4,090,571.70","3,108,040.20","(982,531.50)",UNITED STATES,Industrials,Transportation
SAIA INC,"14,598","1,204,570.77","2,744,424.00","1,539,853.23",UNITED STATES,Industrials,Transportation
XPO LOGISTICS INC,"52,755","2,890,949.69","2,540,680.80","(350,268.89)",UNITED STATES,Industrials,Transportation
UNITED AIRLINES HOLDINGS INC,"70,443","4,878,973.66","2,495,091.06","(2,383,882.60)",UNITED STATES,Industrials,Transportation
KIRBY CORP,"36,715","2,417,984.25","2,233,740.60","(184,243.65)",UNITED STATES,Industrials,Transportation
WERNER ENTERPRISES INC,"50,817","2,343,073.15","1,958,487.18","(384,585.97)",UNITED STATES,Industrials,Transportation
LYFT INC,"130,185","7,385,880.46","1,728,856.80","(5,657,023.66)",UNITED STATES,Industrials,Transportation
SUN COUNTRY AIRLINES HOLDINGS,"92,697","2,959,902.03","1,700,062.98","(1,259,839.05)",UNITED STATES,Industrials,Transportation
AMERICAN AIRLINES GROUP INC,"127,678","5,086,710.20","1,618,957.04","(3,467,753.16)",UNITED STATES,Industrials,Transportation
JETBLUE AIRWAYS CORP,"164,171","3,208,458.95","1,374,111.27","(1,834,347.68)",UNITED STATES,Industrials,Transportation
CH ROBINSON WORLDWIDE INC,"13,045","992,330.26","1,322,371.65","330,041.39",UNITED STATES,Industrials,Transportation
ALLEGIANT TRAVEL CO,"9,945","1,662,501.03","1,124,680.05","(537,820.98)",UNITED STATES,Industrials,Transportation
JB HUNT TRANSPORT SERVICES INC,"5,226","586,452.66","822,938.22","236,485.56",UNITED STATES,Industrials,Transportation
AVIS BUDGET GROUP INC,"4,236","235,141.65","623,030.88","387,889.23",UNITED STATES,Industrials,Transportation
AMERCO,"1,242","677,850.62","593,961.66","(83,888.96)",UNITED STATES,Industrials,Transportation
GXO LOGISTICS INC,"5,868","201,844.71","253,908.36","52,063.65",UNITED STATES,Industrials,Transportation
HUB GROUP INC,"1,506","69,071.76","106,835.64","37,763.88",UNITED STATES,Industrials,Transportation
ATLAS AIR WORLDWIDE HOLDINGS I,"1,689","106,528.56","104,228.19","(2,300.37)",UNITED STATES,Industrials,Transportation
HERTZ GLOBAL HOLDINGS INC,"6,311","121,314.03","99,966.24","(21,347.79)",UNITED STATES,Industrials,Transportation
FORWARD AIR CORP,893,"74,468.03","82,120.28","7,652.25",UNITED STATES,Industrials,Transportation
ARCBEST CORP,587,"62,734.04","41,307.19","(21,426.85)",UNITED STATES,Industrials,Transportation
MATSON INC,295,"24,630.29","21,499.60","(3,130.69)",UNITED STATES,Industrials,Transportation
SPIRIT AIRLINES INC,736,"16,311.60","17,546.24","1,234.64",UNITED STATES,Industrials,Transportation
AIR TRANSPORT SERVICES GROUP I,436,"13,961.81","12,526.28","(1,435.53)",UNITED STATES,Industrials,Transportation
JOBY AVIATION INC,"2,123","11,039.60","10,423.93",(615.67),UNITED STATES,Industrials,Transportation
SKYWEST INC,368,"9,675.64","7,820.00","(1,855.64)",UNITED STATES,Industrials,Transportation
TUSIMPLE HOLDINGS INC,"1,048","9,340.30","7,577.04","(1,763.26)",UNITED STATES,Industrials,Transportation
MARTEN TRANSPORT LTD,440,"7,753.90","7,400.80",(353.10),UNITED STATES,Industrials,Transportation
HAWAIIAN HOLDINGS INC,472,"7,973.26","6,754.32","(1,218.94)",UNITED STATES,Industrials,Transportation
HEARTLAND EXPRESS INC,333,"4,732.76","4,632.03",(100.73),UNITED STATES,Industrials,Transportation
WHEELS UP EXPERIENCE INC,"2,254","5,274.36","4,395.30",(879.06),UNITED STATES,Industrials,Transportation
FRONTIER GROUP HOLDINGS INC,423,"4,256.44","3,963.51",(292.93),UNITED STATES,Industrials,Transportation
NVIDIA CORP,"372,299","41,291,056.83","56,436,805.41","15,145,748.58",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
INTEL CORP,"1,064,260","43,798,433.93","39,813,966.60","(3,984,467.33)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
BROADCOM INC,"75,231","20,750,546.54","36,547,972.11","15,797,425.57",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
QUALCOMM INC,"244,742","29,712,901.40","31,263,343.08","1,550,441.68",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
APPLIED MATERIALS INC,"315,692","18,580,430.10","28,721,658.16","10,141,228.06",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
LAM RESEARCH CORP,"65,635","32,538,250.73","27,970,355.25","(4,567,895.48)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
ENTEGRIS INC,"221,809","21,441,628.17","20,435,263.17","(1,006,365.00)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
TEXAS INSTRUMENTS INC,"122,958","15,155,446.86","18,892,496.70","3,737,049.84",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
ADVANCED MICRO DEVICES INC,"181,792","17,126,089.77","13,901,612.07","(3,224,477.70)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
ANALOG DEVICES INC,"91,910","10,237,980.41","13,427,083.69","3,189,103.28",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
SILICON LABORATORIES INC,"80,154","10,732,766.24","11,239,193.88","506,427.64",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
MICRON TECHNOLOGY INC,"168,653","9,576,596.70","9,323,137.84","(253,458.86)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
MICROCHIP TECHNOLOGY INC,"141,168","6,611,747.04","8,199,037.44","1,587,290.40",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
QORVO INC,"76,568","9,588,492.18","7,221,893.76","(2,366,598.42)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
LATTICE SEMICONDUCTOR CORP,"147,151","6,288,471.80","7,136,823.50","848,351.70",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
DIODES INC,"79,894","4,451,856.41","5,158,755.58","706,899.17",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
KLA CORP,"15,323","4,201,735.32","4,889,262.84","687,527.52",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
ONTO INNOVATION INC,"63,420","2,037,849.61","4,422,910.80","2,385,061.19",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
SYNAPTICS INC,"37,204","6,934,740.12","4,391,932.20","(2,542,807.92)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
SKYWORKS SOLUTIONS INC,"43,497","4,752,469.26","4,029,562.08","(722,907.18)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
ON SEMICONDUCTOR CORP,"64,362","3,367,486.47","3,238,052.22","(129,434.25)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
ENPHASE ENERGY INC,"15,417","1,642,267.18","3,010,015.08","1,367,747.90",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
MAXLINEAR INC,"78,905","1,667,990.91","2,681,191.90","1,013,200.99",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
MONOLITHIC POWER SYSTEMS INC,"5,408","971,460.46","2,076,888.32","1,105,427.86",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
MACOM TECHNOLOGY SOLUTIONS HOL,"42,207","2,380,351.09","1,945,742.70","(434,608.39)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
FORMFACTOR INC,"48,657","1,844,565.28","1,884,485.61","39,920.33",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
MARVELL TECHNOLOGY INC,"42,223","1,803,905.45","1,837,967.19","34,061.74",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
PARADE TECHNOLOGIES LTD,"45,000","2,127,976.29","1,740,461.07","(387,515.22)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
MKS INSTRUMENTS INC,"15,866","1,791,875.66","1,628,327.58","(163,548.08)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
COHU INC,"48,348","2,198,474.80","1,341,657.00","(856,817.80)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
TERADYNE INC,"7,705","741,339.92","689,982.75","(51,357.17)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
SOLAREDGE TECHNOLOGIES INC,"1,536","390,015.41","420,372.48","30,357.07",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
FIRST SOLAR INC,"5,549","349,439.80","378,053.37","28,613.57",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
WOLFSPEED INC,"3,551","244,041.24","225,310.95","(18,730.29)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
CIRRUS LOGIC INC,"2,868","212,923.92","208,044.72","(4,879.20)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
CMC MATERIALS INC,842,"129,037.98","146,920.58","17,882.60",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
REC SILICON ASA,"80,800","194,710.75","125,006.00","(69,704.75)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
UNIVERSAL DISPLAY CORP,"1,077","141,600.16","108,927.78","(32,672.38)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
POWER INTEGRATIONS INC,"1,303","85,280.56","97,738.03","12,457.47",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
AMKOR TECHNOLOGY INC,"4,812","111,113.75","81,563.40","(29,550.35)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
SEMTECH CORP,"1,391","64,072.30","76,463.27","12,390.97",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
SITIME CORP,343,"92,192.40","55,919.29","(36,273.11)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
KULICKE & SOFFA INDUSTRIES INC,"1,134","53,510.14","48,546.54","(4,963.60)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
RAMBUS INC,"1,918","32,696.33","41,217.82","8,521.49",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
SUNPOWER CORP,"1,780","36,572.72","28,141.80","(8,430.92)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
INTELLIEPI INC,"9,000","24,428.72","21,127.68","(3,301.04)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
AXCELIS TECHNOLOGIES INC,336,"18,178.48","18,426.24",247.76,UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
ULTRA CLEAN HOLDINGS INC,337,"11,216.20","10,032.49","(1,183.71)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
IMPINJ INC,151,"8,103.04","8,859.17",756.13,UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
PHOTRONICS INC,430,"9,439.58","8,376.40","(1,063.18)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
ACM RESEARCH INC,425,"6,545.00","7,152.75",607.75,UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
VEECO INSTRUMENTS INC,361,"7,838.21","7,003.40",(834.81),UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
GCS HOLDINGS INC,"6,000","12,662.17","6,760.05","(5,902.12)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
INDIE SEMICONDUCTOR INC,"1,165","7,432.70","6,640.50",(792.20),UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
NEOPHOTONICS CORP,400,"6,213.00","6,292.00",79.00,UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
ALLEGRO MICROSYSTEMS INC,301,"7,366.22","6,227.69","(1,138.53)",UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
CEVA INC,163,"5,948.28","5,470.28",(478.00),UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
PDF SOLUTIONS INC,232,"5,478.10","4,990.32",(487.78),UNITED STATES,Information Technology,Semiconductors & Semiconductor Equipment
MICROSOFT CORP,"1,836,621","265,731,079.18","471,699,371.43","205,968,292.25",UNITED STATES,Information Technology,Software & Services
VISA INC,"578,226","59,868,436.98","113,846,917.14","53,978,480.16",UNITED STATES,Information Technology,Software & Services
MASTERCARD INC,"220,060","66,867,223.17","69,424,528.80","2,557,305.63",UNITED STATES,Information Technology,Software & Services
ORACLE CORP,"839,634","44,281,199.44","58,665,227.58","14,384,028.14",UNITED STATES,Information Technology,Software & Services
SERVICENOW INC,"121,226","48,230,132.83","57,645,387.52","9,415,254.69",UNITED STATES,Information Technology,Software & Services
FISERV INC,"603,658","60,879,591.00","53,707,452.26","(7,172,138.74)",UNITED STATES,Information Technology,Software & Services
INTERNATIONAL BUSINESS MACHINE,"324,083","42,436,707.11","45,757,278.77","3,320,571.66",UNITED STATES,Information Technology,Software & Services
ADOBE INC,"120,729","38,859,617.90","44,194,057.74","5,334,439.84",UNITED STATES,Information Technology,Software & Services
GLOBAL PAYMENTS INC,"385,923","56,793,124.77","42,698,520.72","(14,094,604.05)",UNITED STATES,Information Technology,Software & Services
FIDELITY NATIONAL INFORMATION,"413,023","48,462,608.75","37,861,818.41","(10,600,790.34)",UNITED STATES,Information Technology,Software & Services
QUALYS INC,"252,852","22,432,913.16","31,894,751.28","9,461,838.12",UNITED STATES,Information Technology,Software & Services
AUTOMATIC DATA PROCESSING INC,"142,625","26,265,797.09","29,956,955.00","3,691,157.91",UNITED STATES,Information Technology,Software & Services
SALESFORCE.COM INC,"163,581","24,289,709.70","26,997,408.24","2,707,698.54",UNITED STATES,Information Technology,Software & Services
VMWARE INC,"222,156","15,286,797.63","25,321,340.42","10,034,542.79",UNITED STATES,Information Technology,Software & Services
NORTONLIFELOCK INC,"1,041,081","28,144,211.98","22,862,138.76","(5,282,073.22)",UNITED STATES,Information Technology,Software & Services
PAYPAL HOLDINGS INC,"314,828","41,931,894.94","21,987,587.52","(19,944,307.42)",UNITED STATES,Information Technology,Software & Services
INTUIT INC,"56,411","16,020,237.15","21,743,055.84","5,722,818.69",UNITED STATES,Information Technology,Software & Services
FLEETCOR TECHNOLOGIES INC,"96,503","24,395,392.35","20,276,245.33","(4,119,147.02)",UNITED STATES,Information Technology,Software & Services
DATADOG INC,"154,987","18,213,204.37","14,760,961.88","(3,452,242.49)",UNITED STATES,Information Technology,Software & Services
PALO ALTO NETWORKS INC,"24,671","12,229,631.22","12,185,993.74","(43,637.48)",UNITED STATES,Information Technology,Software & Services
EPAM SYSTEMS INC,"41,042","11,818,867.50","12,098,360.76","279,493.26",UNITED STATES,Information Technology,Software & Services
EVO PAYMENTS INC,"398,825","9,820,670.09","9,380,364.00","(440,306.09)",UNITED STATES,Information Technology,Software & Services
ROPER TECHNOLOGIES INC,"22,806","9,028,339.47","9,000,387.90","(27,951.57)",UNITED STATES,Information Technology,Software & Services
SPROUT SOCIAL INC,"146,070","9,040,060.13","8,482,284.90","(557,775.23)",UNITED STATES,Information Technology,Software & Services
WESTERN UNION CO/THE,"509,970","9,558,796.34","8,399,205.90","(1,159,590.44)",UNITED STATES,Information Technology,Software & Services
PAYCHEX INC,"67,577","7,360,661.00","7,694,992.99","334,331.99",UNITED STATES,Information Technology,Software & Services
CADENCE DESIGN SYSTEMS INC,"50,797","6,488,575.66","7,621,073.91","1,132,498.25",UNITED STATES,Information Technology,Software & Services
COGNIZANT TECHNOLOGY SOLUTIONS,"101,250","6,810,093.97","6,833,362.50","23,268.53",UNITED STATES,Information Technology,Software & Services
CDK GLOBAL INC,"119,174","6,474,787.16","6,527,159.98","52,372.82",UNITED STATES,Information Technology,Software & Services
SYNOPSYS INC,"20,410","5,047,474.68","6,198,517.00","1,151,042.32",UNITED STATES,Information Technology,Software & Services
GARTNER INC,"24,968","7,381,880.65","6,038,011.44","(1,343,869.21)",UNITED STATES,Information Technology,Software & Services
SNOWFLAKE INC,"41,030","9,581,052.26","5,705,631.80","(3,875,420.46)",UNITED STATES,Information Technology,Software & Services
DOLBY LABORATORIES INC,"78,666","6,206,100.29","5,629,338.96","(576,761.33)",UNITED STATES,Information Technology,Software & Services
SPLUNK INC,"62,808","9,457,768.03","5,555,995.68","(3,901,772.35)",UNITED STATES,Information Technology,Software & Services
VERISIGN INC,"33,189","6,317,853.98","5,553,515.37","(764,338.61)",UNITED STATES,Information Technology,Software & Services
RAPID7 INC,"81,769","7,482,281.39","5,462,169.20","(2,020,112.19)",UNITED STATES,Information Technology,Software & Services
FIVE9 INC,"56,316","5,715,065.02","5,132,640.24","(582,424.78)",UNITED STATES,Information Technology,Software & Services
PROS HOLDINGS INC,"183,766","5,778,602.57","4,820,182.18","(958,420.39)",UNITED STATES,Information Technology,Software & Services
GRID DYNAMICS HOLDINGS INC,"274,995","4,307,707.58","4,625,415.90","317,708.32",UNITED STATES,Information Technology,Software & Services
BILL.COM HOLDINGS INC,"39,904","9,695,658.31","4,387,045.76","(5,308,612.55)",UNITED STATES,Information Technology,Software & Services
Q2 HOLDINGS INC,"111,844","5,959,932.34","4,313,823.08","(1,646,109.26)",UNITED STATES,Information Technology,Software & Services
EXLSERVICE HOLDINGS INC,"29,129","1,927,611.56","4,291,575.57","2,363,964.01",UNITED STATES,Information Technology,Software & Services
SMARTSHEET INC,"129,768","5,927,285.99","4,078,608.24","(1,848,677.75)",UNITED STATES,Information Technology,Software & Services
BROADRIDGE FINANCIAL SOLUTIONS,"28,495","3,926,905.58","4,061,962.25","135,056.67",UNITED STATES,Information Technology,Software & Services
PERFICIENT INC,"41,128","631,473.83","3,771,026.32","3,139,552.49",UNITED STATES,Information Technology,Software & Services
VARONIS SYSTEMS INC,"128,482","4,134,607.63","3,767,092.24","(367,515.39)",UNITED STATES,Information Technology,Software & Services
SQUARE INC,"61,165","3,470,783.38","3,759,200.90","288,417.52",UNITED STATES,Information Technology,Software & Services
SALESFORCE INC,"22,438","4,115,316.72","3,703,167.52","(412,149.20)",UNITED STATES,Information Technology,Software & Services
GODADDY INC,"47,645","4,014,518.62","3,314,186.20","(700,332.42)",UNITED STATES,Information Technology,Software & Services
DXC TECHNOLOGY CO,"101,132","2,642,542.39","3,065,310.92","422,768.53",UNITED STATES,Information Technology,Software & Services
APPFOLIO INC,"29,879","3,133,391.39","2,708,232.56","(425,158.83)",UNITED STATES,Information Technology,Software & Services
PAYCOR HCM INC,"100,080","2,648,785.60","2,602,080.00","(46,705.60)",UNITED STATES,Information Technology,Software & Services
NCR CORP,"75,980","2,240,550.52","2,363,737.80","123,187.28",UNITED STATES,Information Technology,Software & Services
SPS COMMERCE INC,"20,053","511,934.18","2,266,991.65","1,755,057.47",UNITED STATES,Information Technology,Software & Services
TASKUS INC,"133,909","3,551,151.91","2,257,705.74","(1,293,446.17)",UNITED STATES,Information Technology,Software & Services
COMMVAULT SYSTEMS INC,"35,114","1,418,639.59","2,208,670.60","790,031.01",UNITED STATES,Information Technology,Software & Services
DIGITAL TURBINE INC,"121,350","4,808,894.11","2,119,984.50","(2,688,909.61)",UNITED STATES,Information Technology,Software & Services
FORTINET INC,"34,517","1,700,267.11","1,952,971.86","252,704.75",UNITED STATES,Information Technology,Software & Services
